,Label,Checkpoint,OriginalLoss,AblatedLoss,AblationIncrease
2338,L5N1787,77,2.9513455724716184,2.952308750152588,0.0009631776809695403
2339,L5N1086,77,2.9513455724716184,2.9514684867858887,0.00012291431427025046
2340,L3N669,78,2.9809016227722167,3.2113184976577758,0.23041687488555906
2341,L5N395,78,2.9809016227722167,3.0555647659301757,0.07466314315795897
2342,L5N1655,78,2.9809016227722167,2.9810285902023317,0.00012696743011497702
2343,L4N1276,78,2.9809016227722167,2.9814309167861937,0.0005292940139769442
2344,L5N444,78,2.9809016227722167,2.9914479875564575,0.010546364784240758
2345,L5N1599,78,2.9809016227722167,2.9827152824401857,0.001813659667968981
2346,L4N45,78,2.9809016227722167,2.9832665014266966,0.002364878654479874
2347,L5N1712,78,2.9809016227722167,2.9809600162506102,5.8393478393536924e-05
2348,L5N1336,78,2.9809016227722167,3.002857513427734,0.021955890655517507
2349,L5N389,78,2.9809016227722167,2.9881485652923585,0.007246942520141797
2350,L5N1225,78,2.9809016227722167,2.9821552562713625,0.0012536334991457565
2351,L5N592,78,2.9809016227722167,2.980976576805115,7.495403289814462e-05
2352,L3N1542,78,2.9809016227722167,2.981191039085388,0.00028941631317147554
2353,L5N1272,78,2.9809016227722167,2.9832813596725463,0.0023797369003295543
2354,L5N1638,78,2.9809016227722167,2.9809112119674683,9.589195251624716e-06
2355,L5N1331,78,2.9809016227722167,2.9809627771377563,6.115436553955078e-05
2356,L5N725,78,2.9809016227722167,2.9808587503433226,-4.287242889411402e-05
2357,L4N1271,78,2.9809016227722167,2.982023391723633,0.0011217689514162466
2358,L4N482,78,2.9809016227722167,2.9956699562072755,0.01476833343505879
2359,L4N1601,78,2.9809016227722167,2.9814861011505127,0.000584478378296005
2360,L4N768,78,2.9809016227722167,2.9817233753204344,0.0008217525482177024
2361,L5N432,78,2.9809016227722167,2.9811325883865356,0.00023096561431890095
2362,L3N60,78,2.9809016227722167,2.985580005645752,0.004678382873535281
2363,L5N1212,78,2.9809016227722167,2.981138195991516,0.00023657321929926312
2364,L5N1453,78,2.9809016227722167,2.9816992616653444,0.0007976388931276723
2365,L5N1693,78,2.9809016227722167,2.9825506925582888,0.0016490697860720438
2366,L4N2014,78,2.9809016227722167,2.9806122398376464,-0.0002893829345702592
2367,L5N785,78,2.9809016227722167,2.9870683336257935,0.0061667108535767845
2368,L5N1787,78,2.9809016227722167,2.981768774986267,0.0008671522140502042
2369,L5N1086,78,2.9809016227722167,2.9809543895721435,5.276679992682887e-05
2370,L3N669,79,2.9953629112243654,3.242584562301636,0.24722165107727045
2371,L5N395,79,2.9953629112243654,3.0738936710357665,0.07853075981140112
2372,L5N1655,79,2.9953629112243654,2.9955339813232422,0.00017107009887684654
2373,L4N1276,79,2.9953629112243654,2.995403695106506,4.078388214079354e-05
2374,L5N444,79,2.9953629112243654,3.0061949920654296,0.01083208084106424
2375,L5N1599,79,2.9953629112243654,2.996497588157654,0.0011346769332885032
