Checkpoint,Trigram,Original Loss,Ablated Loss,Direct Effect Loss,Indirect Effect Loss
105,estern abend,1.7689882516860962,4.269493103027344,4.165347576141357,2.0206849575042725
105,estern besch,1.0604667663574219,2.256985664367676,3.1910924911499023,0.7679188251495361
105,etzgebung,0.7087181210517883,1.5651381015777588,1.5486462116241455,0.8441612124443054
105,etzgebungs,3.0521459579467773,4.325753688812256,2.941246271133423,4.489518165588379
105,fer forder,2.0363919734954834,4.777519226074219,4.755899429321289,1.8221803903579712
105,g bringt,2.488276243209839,5.262168884277344,6.002757549285889,2.0026493072509766
105,genmitgl,3.552384614944458,6.393675327301025,6.79032039642334,3.896717071533203
105,gienebeding,3.376600503921509,5.739418029785156,6.527538776397705,3.25911808013916
105,heit befassen,2.592419147491455,5.246998310089111,4.495874404907227,3.640270709991455
105,heit bringt,1.8744319677352905,4.7188873291015625,5.601585388183594,1.4181039333343506
105,ichen Opfer,0.32879719138145447,1.9739679098129272,1.956360101699829,0.3389844000339508
105,iederaufb,2.2826364040374756,6.192804336547852,5.651252269744873,3.8353354930877686
105,ige Abge,2.105715036392212,4.155612468719482,3.5416810512542725,2.8119053840637207
105,ige Festst,1.7978596687316895,4.3284831047058105,4.993382930755615,1.5512702465057373
105,ilflich,3.0531883239746094,4.753309726715088,6.257490158081055,2.434314012527466
105,ine Ansicht,2.381526470184326,5.894858360290527,6.592410564422607,2.375237464904785
105,inen Missbra,4.527542591094971,6.809719085693359,6.735086917877197,4.755781650543213
105,iner Auff,2.9749042987823486,6.037911891937256,5.9137701988220215,3.1175966262817383
105,ische Ansicht,1.88365638256073,4.684067726135254,5.236782073974609,2.729945421218872
105,ische Auff,2.963175058364868,6.205617427825928,6.132012367248535,3.136301279067993
105,ischen Ansicht,2.080117702484131,5.47610330581665,5.72349739074707,3.051056385040283
105,ischen Ministerpr,3.994163751602173,6.788478851318359,6.77363395690918,4.1457977294921875
105,isse forder,1.7235091924667358,4.065601825714111,4.077591896057129,1.5427600145339966
105,it befassen,2.3491344451904297,4.99100399017334,4.049755096435547,3.446343421936035
105,it gewes,2.2507095336914062,3.3328258991241455,5.061892032623291,1.2571282386779785
105,its zug,2.425333023071289,4.049439430236816,4.254443645477295,2.244354486465454
105,itsbeding,2.7601563930511475,4.986089706420898,5.518520355224609,2.934183359146118
105,ktion forder,2.1036999225616455,4.974442481994629,4.916382312774658,2.1397101879119873
105,le Opfer,0.7214639782905579,2.553525686264038,2.522756338119507,0.7442789077758789
105,lem befassen,2.333425760269165,4.869387626647949,3.825079917907715,3.5398597717285156
105,liche Ansicht,1.7876698970794678,4.337255001068115,4.98483943939209,2.612675189971924
105,nen Forder,0.3346925675868988,2.320584535598755,1.837893009185791,0.31162187457084656
105,obo fordern,1.0686002969741821,3.569164991378784,2.4022068977355957,2.017712116241455
105,on bringt,2.3405563831329346,4.859936714172363,5.656256198883057,1.8210525512695312
105,ordnung,2.148714542388916,3.909630537033081,3.7453982830047607,2.590444803237915
105,ords sucht,1.1123040914535522,2.8647866249084473,3.0306265354156494,1.0797454118728638
105,re Ansicht,2.3333611488342285,5.551308631896973,5.775390625,3.1561176776885986
105,re Auff,3.0902795791625977,6.086184978485107,5.91707706451416,3.244623899459839
105,re frucht,2.904986619949341,4.8575358390808105,4.679352283477783,3.2620935440063477
105,ren Ansicht,1.9741679430007935,5.474400520324707,5.613580226898193,2.742753744125366
